Aseguradora;Edad;Precio;Indemnizacion;
map_02;1;3,27 €;12.000 €;
map_02;2;3,27 €;12.000 €;
map_02;3;3,27 €;12.000 €;
map_02;4;3,27 €;12.000 €;
map_02;5;3,27 €;12.000 €;
map_02;6;3,27 €;12.000 €;
map_02;7;3,27 €;12.000 €;
map_02;8;3,27 €;12.000 €;
map_02;9;3,27 €;12.000 €;
map_02;10;3,27 €;12.000 €;
map_02;11;3,27 €;12.000 €;
map_02;12;3,27 €;12.000 €;
map_02;13;3,27 €;12.000 €;
map_02;14;3,27 €;12.000 €;
map_02;15;3,27 €;12.000 €;
map_02;16;3,27 €;12.000 €;
map_02;17;3,27 €;12.000 €;
map_02;18;3,27 €;12.000 €;
map_02;19;3,27 €;12.000 €;
map_02;20;3,27 €;12.000 €;
map_02;21;3,27 €;12.000 €;
map_02;22;3,27 €;12.000 €;
map_02;23;3,27 €;12.000 €;
map_02;24;3,27 €;12.000 €;
map_02;25;3,27 €;12.000 €;
map_02;26;3,27 €;12.000 €;
map_02;27;3,27 €;12.000 €;
map_02;28;3,27 €;12.000 €;
map_02;29;3,27 €;12.000 €;
map_02;30;3,42 €;12.000 €;
map_02;31;3,42 €;12.000 €;
map_02;32;3,42 €;12.000 €;
map_02;33;3,42 €;12.000 €;
map_02;34;3,42 €;12.000 €;
map_02;35;3,94 €;12.000 €;
map_02;36;3,94 €;12.000 €;
map_02;37;3,94 €;12.000 €;
map_02;38;3,94 €;12.000 €;
map_02;39;3,94 €;12.000 €;
map_02;40;4,94 €;12.000 €;
map_02;41;4,94 €;12.000 €;
map_02;42;4,94 €;12.000 €;
map_02;43;4,94 €;12.000 €;
map_02;44;4,94 €;12.000 €;
map_02;45;7,43 €;12.000 €;
map_02;46;7,43 €;12.000 €;
map_02;47;7,43 €;12.000 €;
map_02;48;7,43 €;12.000 €;
map_02;49;7,43 €;12.000 €;
map_02;50;10,85 €;12.000 €;
map_02;51;10,85 €;12.000 €;
map_02;52;10,85 €;12.000 €;
map_02;53;10,85 €;12.000 €;
map_02;54;10,85 €;12.000 €;
map_02;55;19,67 €;12.000 €;
map_02;56;19,67 €;12.000 €;
map_02;57;19,67 €;12.000 €;
map_02;58;19,67 €;12.000 €;
map_02;59;19,67 €;12.000 €;
map_02;60;28,01 €;12.000 €;
map_02;61;28,01 €;12.000 €;
map_02;62;28,01 €;12.000 €;
map_02;63;28,01 €;12.000 €;
map_02;64;38,42 €;12.000 €;
map_02;65;38,42 €;12.000 €;
map_02;66;38,42 €;12.000 €;
map_02;67;38,42 €;12.000 €;
map_02;68;38,42 €;12.000 €;
map_02;69;38,42 €;12.000 €;
map_02;1;7,83 €;30.000 €;
map_02;2;7,83 €;30.000 €;
map_02;3;7,83 €;30.000 €;
map_02;4;7,83 €;30.000 €;
map_02;5;7,83 €;30.000 €;
map_02;6;7,83 €;30.000 €;
map_02;7;7,83 €;30.000 €;
map_02;8;7,83 €;30.000 €;
map_02;9;7,83 €;30.000 €;
map_02;10;7,83 €;30.000 €;
map_02;11;7,83 €;30.000 €;
map_02;12;7,83 €;30.000 €;
map_02;13;7,83 €;30.000 €;
map_02;14;7,83 €;30.000 €;
map_02;15;7,83 €;30.000 €;
map_02;16;7,83 €;30.000 €;
map_02;17;7,83 €;30.000 €;
map_02;18;7,83 €;30.000 €;
map_02;19;7,83 €;30.000 €;
map_02;20;7,83 €;30.000 €;
map_02;21;7,83 €;30.000 €;
map_02;22;7,83 €;30.000 €;
map_02;23;7,83 €;30.000 €;
map_02;24;7,83 €;30.000 €;
map_02;25;7,83 €;30.000 €;
map_02;26;7,83 €;30.000 €;
map_02;27;7,83 €;30.000 €;
map_02;28;7,83 €;30.000 €;
map_02;29;7,83 €;30.000 €;
map_02;30;8,21 €;30.000 €;
map_02;31;8,21 €;30.000 €;
map_02;32;8,21 €;30.000 €;
map_02;33;8,21 €;30.000 €;
map_02;34;8,21 €;30.000 €;
map_02;35;9,52 €;30.000 €;
map_02;36;9,52 €;30.000 €;
map_02;37;9,52 €;30.000 €;
map_02;38;9,52 €;30.000 €;
map_02;39;9,52 €;30.000 €;
map_02;40;12,01 €;30.000 €;
map_02;41;12,01 €;30.000 €;
map_02;42;12,01 €;30.000 €;
map_02;43;12,01 €;30.000 €;
map_02;44;12,01 €;30.000 €;
map_02;45;18,22 €;30.000 €;
map_02;46;18,22 €;30.000 €;
map_02;47;18,22 €;30.000 €;
map_02;48;18,22 €;30.000 €;
map_02;49;18,22 €;30.000 €;
map_02;50;26,77 €;30.000 €;
map_02;51;26,77 €;30.000 €;
map_02;52;26,77 €;30.000 €;
map_02;53;26,77 €;30.000 €;
map_02;54;26,77 €;30.000 €;
map_02;55;48,84 €;30.000 €;
map_02;56;48,84 €;30.000 €;
map_02;57;48,84 €;30.000 €;
map_02;58;48,84 €;30.000 €;
map_02;59;48,84 €;30.000 €;
map_02;60;69,68 €;30.000 €;
map_02;61;69,68 €;30.000 €;
map_02;62;69,68 €;30.000 €;
map_02;63;69,68 €;30.000 €;
map_02;64;69,68 €;30.000 €;
map_02;65;95,70 €;30.000 €;
map_02;66;95,70 €;30.000 €;
map_02;67;95,70 €;30.000 €;
map_02;68;95,70 €;30.000 €;
map_02;69;95,70 €;30.000 €;
map_02;1;12,91 €;50.000 €;
map_02;2;12,91 €;50.000 €;
map_02;3;12,91 €;50.000 €;
map_02;4;12,91 €;50.000 €;
map_02;5;12,91 €;50.000 €;
map_02;6;12,91 €;50.000 €;
map_02;7;12,91 €;50.000 €;
map_02;8;12,91 €;50.000 €;
map_02;9;12,91 €;50.000 €;
map_02;10;12,91 €;50.000 €;
map_02;11;12,91 €;50.000 €;
map_02;12;12,91 €;50.000 €;
map_02;13;12,91 €;50.000 €;
map_02;14;12,91 €;50.000 €;
map_02;15;12,91 €;50.000 €;
map_02;16;12,91 €;50.000 €;
map_02;17;12,91 €;50.000 €;
map_02;18;12,91 €;50.000 €;
map_02;19;12,91 €;50.000 €;
map_02;20;12,91 €;50.000 €;
map_02;21;12,91 €;50.000 €;
map_02;22;12,91 €;50.000 €;
map_02;23;12,91 €;50.000 €;
map_02;24;12,91 €;50.000 €;
map_02;25;12,91 €;50.000 €;
map_02;26;12,91 €;50.000 €;
map_02;27;12,91 €;50.000 €;
map_02;28;12,91 €;50.000 €;
map_02;29;12,91 €;50.000 €;
map_02;30;13,55 €;50.000 €;
map_02;31;13,55 €;50.000 €;
map_02;32;13,55 €;50.000 €;
map_02;33;13,55 €;50.000 €;
map_02;34;13,55 €;50.000 €;
map_02;35;15,72 €;50.000 €;
map_02;36;15,72 €;50.000 €;
map_02;37;15,72 €;50.000 €;
map_02;38;15,72 €;50.000 €;
map_02;39;15,72 €;50.000 €;
map_02;40;19,88 €;50.000 €;
map_02;41;19,88 €;50.000 €;
map_02;42;19,88 €;50.000 €;
map_02;43;19,88 €;50.000 €;
map_02;44;19,88 €;50.000 €;
map_02;45;30,23 €;50.000 €;
map_02;46;30,23 €;50.000 €;
map_02;47;30,23 €;50.000 €;
map_02;48;30,23 €;50.000 €;
map_02;49;30,23 €;50.000 €;
map_02;50;44,48 €;50.000 €;
map_02;51;44,48 €;50.000 €;
map_02;52;44,48 €;50.000 €;
map_02;53;44,48 €;50.000 €;
map_02;54;44,48 €;50.000 €;
map_02;55;81,27 €;50.000 €;
map_02;56;81,27 €;50.000 €;
map_02;57;81,27 €;50.000 €;
map_02;58;81,27 €;50.000 €;
map_02;59;81,27 €;50.000 €;
map_02;60;115,99 €;50.000 €;
map_02;61;115,99 €;50.000 €;
map_02;62;115,99 €;50.000 €;
map_02;63;115,99 €;50.000 €;
map_02;64;115,99 €;50.000 €;
map_02;65;159,34 €;50.000 €;
map_02;66;159,34 €;50.000 €;
map_02;67;159,34 €;50.000 €;
map_02;68;159,34 €;50.000 €;
map_02;69;159,34 €;50.000 €;
map_02;1;15,45 €;60.000 €;
map_02;2;15,45 €;60.000 €;
map_02;3;15,45 €;60.000 €;
map_02;4;15,45 €;60.000 €;
map_02;5;15,45 €;60.000 €;
map_02;6;15,45 €;60.000 €;
map_02;7;15,45 €;60.000 €;
map_02;8;15,45 €;60.000 €;
map_02;9;15,45 €;60.000 €;
map_02;10;15,45 €;60.000 €;
map_02;11;15,45 €;60.000 €;
map_02;12;15,45 €;60.000 €;
map_02;13;15,45 €;60.000 €;
map_02;14;15,45 €;60.000 €;
map_02;15;15,45 €;60.000 €;
map_02;16;15,45 €;60.000 €;
map_02;17;15,45 €;60.000 €;
map_02;18;15,45 €;60.000 €;
map_02;19;15,45 €;60.000 €;
map_02;20;15,45 €;60.000 €;
map_02;21;15,45 €;60.000 €;
map_02;22;15,45 €;60.000 €;
map_02;23;15,45 €;60.000 €;
map_02;24;15,45 €;60.000 €;
map_02;25;15,45 €;60.000 €;
map_02;26;15,45 €;60.000 €;
map_02;27;15,45 €;60.000 €;
map_02;28;15,45 €;60.000 €;
map_02;29;15,45 €;60.000 €;
map_02;30;16,23 €;60.000 €;
map_02;31;16,23 €;60.000 €;
map_02;32;16,23 €;60.000 €;
map_02;33;16,23 €;60.000 €;
map_02;34;16,23 €;60.000 €;
map_02;35;28,12 €;60.000 €;
map_02;36;28,12 €;60.000 €;
map_02;37;28,12 €;60.000 €;
map_02;38;28,12 €;60.000 €;
map_02;39;28,12 €;60.000 €;
map_02;40;35,62 €;60.000 €;
map_02;41;35,62 €;60.000 €;
map_02;42;35,62 €;60.000 €;
map_02;43;35,62 €;60.000 €;
map_02;44;35,62 €;60.000 €;
map_02;45;54,24 €;60.000 €;
map_02;46;54,24 €;60.000 €;
map_02;47;54,24 €;60.000 €;
map_02;48;54,24 €;60.000 €;
map_02;49;54,24 €;60.000 €;
map_02;50;79,91 €;60.000 €;
map_02;51;79,91 €;60.000 €;
map_02;52;79,91 €;60.000 €;
map_02;53;79,91 €;60.000 €;
map_02;54;79,91 €;60.000 €;
map_02;55;146,12 €;60.000 €;
map_02;56;146,12 €;60.000 €;
map_02;57;146,12 €;60.000 €;
map_02;58;146,12 €;60.000 €;
map_02;59;146,12 €;60.000 €;
map_02;60;208,62 €;60.000 €;
map_02;61;208,62 €;60.000 €;
map_02;62;208,62 €;60.000 €;
map_02;63;208,62 €;60.000 €;
map_02;64;208,62 €;60.000 €;
map_02;65;286,63 €;60.000 €;
map_02;66;286,63 €;60.000 €;
map_02;67;286,63 €;60.000 €;
map_02;68;286,63 €;60.000 €;
map_02;69;286,63 €;60.000 €;
map_02;1;23,06 €;90.000 €;
map_02;2;23,06 €;90.000 €;
map_02;3;23,06 €;90.000 €;
map_02;4;23,06 €;90.000 €;
map_02;5;23,06 €;90.000 €;
map_02;6;23,06 €;90.000 €;
map_02;7;23,06 €;90.000 €;
map_02;8;23,06 €;90.000 €;
map_02;9;23,06 €;90.000 €;
map_02;10;23,06 €;90.000 €;
map_02;11;23,06 €;90.000 €;
map_02;12;23,06 €;90.000 €;
map_02;13;23,06 €;90.000 €;
map_02;14;23,06 €;90.000 €;
map_02;15;23,06 €;90.000 €;
map_02;16;23,06 €;90.000 €;
map_02;17;23,06 €;90.000 €;
map_02;18;23,06 €;90.000 €;
map_02;19;23,06 €;90.000 €;
map_02;20;23,06 €;90.000 €;
map_02;21;23,06 €;90.000 €;
map_02;22;23,06 €;90.000 €;
map_02;23;23,06 €;90.000 €;
map_02;24;23,06 €;90.000 €;
map_02;25;23,06 €;90.000 €;
map_02;26;23,06 €;90.000 €;
map_02;27;23,06 €;90.000 €;
map_02;28;23,06 €;90.000 €;
map_02;29;23,06 €;90.000 €;
map_02;30;24,22 €;90.000 €;
map_02;31;24,22 €;90.000 €;
map_02;32;24,22 €;90.000 €;
map_02;33;24,22 €;90.000 €;
map_02;34;24,22 €;90.000 €;
map_02;35;28,12 €;90.000 €;
