Aseguradora;Edad;Precio;Indemnizacion
map_02;1;5,37 €;12.000 €
map_02;2;5,37 €;12.000 €
map_02;3;5,37 €;12.000 €
map_02;4;5,37 €;12.000 €
map_02;5;5,37 €;12.000 €
map_02;6;5,37 €;12.000 €
map_02;7;5,37 €;12.000 €
map_02;8;5,37 €;12.000 €
map_02;9;5,37 €;12.000 €
map_02;10;5,37 €;12.000 €
map_02;11;5,37 €;12.000 €
map_02;12;5,37 €;12.000 €
map_02;13;5,37 €;12.000 €
map_02;14;5,37 €;12.000 €
map_02;15;5,37 €;12.000 €
map_02;16;5,37 €;12.000 €
map_02;17;5,37 €;12.000 €
map_02;18;5,37 €;12.000 €
map_02;19;5,37 €;12.000 €
map_02;20;5,37 €;12.000 €
map_02;21;5,37 €;12.000 €
map_02;22;5,37 €;12.000 €
map_02;23;5,37 €;12.000 €
map_02;24;5,37 €;12.000 €
map_02;25;5,37 €;12.000 €
map_02;26;5,37 €;12.000 €
map_02;27;5,37 €;12.000 €
map_02;28;5,37 €;12.000 €
map_02;29;5,37 €;12.000 €
map_02;30;5,52 €;12.000 €
map_02;31;5,52 €;12.000 €
map_02;32;5,52 €;12.000 €
map_02;33;5,52 €;12.000 €
map_02;34;5,52 €;12.000 €
map_02;35;6,06 €;12.000 €
map_02;36;6,06 €;12.000 €
map_02;37;6,06 €;12.000 €
map_02;38;6,06 €;12.000 €
map_02;39;6,06 €;12.000 €
map_02;40;7,09 €;12.000 €
map_02;41;7,09 €;12.000 €
map_02;42;7,09 €;12.000 €
map_02;43;7,09 €;12.000 €
map_02;44;7,09 €;12.000 €
map_02;45;9,65 €;12.000 €
map_02;46;9,65 €;12.000 €
map_02;47;9,65 €;12.000 €
map_02;48;9,65 €;12.000 €
map_02;49;9,65 €;12.000 €
map_02;50;13,17 €;12.000 €
map_02;51;13,17 €;12.000 €
map_02;52;13,17 €;12.000 €
map_02;53;13,17 €;12.000 €
map_02;54;13,17 €;12.000 €
